tournament_year,match_id,minute,stoppage_minute,display_minute,player,team,opponent,stage,stage_group,is_knockout,is_penalty,is_own_goal
1930,M-1930-01,19,0,19,Lucien Laurent,France,Mexico,group stage,Group,false,false,false
1930,M-1930-01,40,0,40,Marcel Langiller,France,Mexico,group stage,Group,false,false,false
1930,M-1930-01,43,0,43,André Maschinot,France,Mexico,group stage,Group,false,false,false
1930,M-1930-01,70,0,70,Juan Carreño,Mexico,France,group stage,Group,false,false,false
1930,M-1930-01,87,0,87,André Maschinot,France,Mexico,group stage,Group,false,false,false
1930,M-1930-02,23,0,23,Bart McGhee,United States,Belgium,group stage,Group,false,false,false
1930,M-1930-02,45,0,45,Tom Florie,United States,Belgium,group stage,Group,false,false,false
1930,M-1930-02,69,0,69,Bert Patenaude,United States,Belgium,group stage,Group,false,false,false
1930,M-1930-03,21,0,21,Aleksandar Tirnanić,Yugoslavia,Brazil,group stage,Group,false,false,false
1930,M-1930-03,30,0,30,Ivan Bek,Yugoslavia,Brazil,group stage,Group,false,false,false
1930,M-1930-03,62,0,62,not applicable Preguinho,Brazil,Yugoslavia,group stage,Group,false,false,false
1930,M-1930-04,1,0,1,Adalbert Deşu,Romania,Peru,group stage,Group,false,false,false
1930,M-1930-04,75,0,75,Luis Souza Ferreira,Peru,Romania,group stage,Group,false,false,false
1930,M-1930-04,79,0,79,Constantin Stanciu,Romania,Peru,group stage,Group,false,false,false
1930,M-1930-04,89,0,89,Miklós Kovács,Romania,Peru,group stage,Group,false,false,false
1930,M-1930-05,81,0,81,Luis Monti,Argentina,France,group stage,Group,false,false,false
1930,M-1930-06,3,0,3,Carlos Vidal,Chile,Mexico,group stage,Group,false,false,false
1930,M-1930-06,52,0,52,Manuel Rosas,Chile,Mexico,group stage,Group,false,false,true
1930,M-1930-06,65,0,65,Carlos Vidal,Chile,Mexico,group stage,Group,false,false,false
1930,M-1930-07,60,0,60,Ivan Bek,Yugoslavia,Bolivia,group stage,Group,false,false,false
1930,M-1930-07,65,0,65,Blagoje Marjanović,Yugoslavia,Bolivia,group stage,Group,false,false,false
1930,M-1930-07,67,0,67,Ivan Bek,Yugoslavia,Bolivia,group stage,Group,false,false,false
1930,M-1930-07,85,0,85,Đorđe Vujadinović,Yugoslavia,Bolivia,group stage,Group,false,false,false
1930,M-1930-08,10,0,10,Bert Patenaude,United States,Paraguay,group stage,Group,false,false,false
1930,M-1930-08,15,0,15,Bert Patenaude,United States,Paraguay,group stage,Group,false,false,false
1930,M-1930-08,50,0,50,Bert Patenaude,United States,Paraguay,group stage,Group,false,false,false
1930,M-1930-09,65,0,65,Héctor Castro,Uruguay,Peru,group stage,Group,false,false,false
1930,M-1930-10,67,0,67,Guillermo Subiabre,Chile,France,group stage,Group,false,false,false
1930,M-1930-11,8,0,8,Guillermo Stábile,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-11,12,0,12,Adolfo Zumelzú,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-11,17,0,17,Guillermo Stábile,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-11,42,0,42,Manuel Rosas,Mexico,Argentina,group stage,Group,false,true,false
1930,M-1930-11,53,0,53,Francisco Varallo,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-11,55,0,55,Adolfo Zumelzú,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-11,65,0,65,Manuel Rosas,Mexico,Argentina,group stage,Group,false,false,false
1930,M-1930-11,75,0,75,Roberto Gayón,Mexico,Argentina,group stage,Group,false,false,false
1930,M-1930-11,80,0,80,Guillermo Stábile,Argentina,Mexico,group stage,Group,false,false,false
1930,M-1930-12,37,0,37,not applicable Moderato,Brazil,Bolivia,group stage,Group,false,false,false
1930,M-1930-12,57,0,57,not applicable Preguinho,Brazil,Bolivia,group stage,Group,false,false,false
1930,M-1930-12,73,0,73,not applicable Moderato,Brazil,Bolivia,group stage,Group,false,false,false
1930,M-1930-12,83,0,83,not applicable Preguinho,Brazil,Bolivia,group stage,Group,false,false,false
1930,M-1930-13,40,0,40,Luis Vargas Peña,Paraguay,Belgium,group stage,Group,false,false,false
1930,M-1930-14,7,0,7,Pablo Dorado,Uruguay,Romania,group stage,Group,false,false,false
1930,M-1930-14,26,0,26,Héctor Scarone,Uruguay,Romania,group stage,Group,false,false,false
1930,M-1930-14,31,0,31,Peregrino Anselmo,Uruguay,Romania,group stage,Group,false,false,false
1930,M-1930-14,35,0,35,Pedro Cea,Uruguay,Romania,group stage,Group,false,false,false
1930,M-1930-15,12,0,12,Guillermo Stábile,Argentina,Chile,group stage,Group,false,false,false
1930,M-1930-15,13,0,13,Guillermo Stábile,Argentina,Chile,group stage,Group,false,false,false
1930,M-1930-15,15,0,15,Guillermo Subiabre,Chile,Argentina,group stage,Group,false,false,false
1930,M-1930-15,51,0,51,Mario Evaristo,Argentina,Chile,group stage,Group,false,false,false
1930,M-1930-16,20,0,20,Luis Monti,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,56,0,56,Alejandro Scopelli,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,69,0,69,Guillermo Stábile,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,80,0,80,Carlos Peucelle,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,85,0,85,Carlos Peucelle,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,87,0,87,Guillermo Stábile,Argentina,United States,semi-finals,Semi-final,true,false,false
1930,M-1930-16,89,0,89,Jim Brown,United States,Argentina,semi-finals,Semi-final,true,false,false
1930,M-1930-17,4,0,4,Đorđe Vujadinović,Yugoslavia,Uruguay,semi-finals,Semi-final,true,false,false
1930,M-1930-17,18,0,18,Pedro Cea,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-17,20,0,20,Peregrino Anselmo,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-17,31,0,31,Peregrino Anselmo,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-17,61,0,61,Santos Iriarte,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-17,67,0,67,Pedro Cea,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-17,72,0,72,Pedro Cea,Uruguay,Yugoslavia,semi-finals,Semi-final,true,false,false
1930,M-1930-18,12,0,12,Pablo Dorado,Uruguay,Argentina,final,Final,true,false,false
1930,M-1930-18,20,0,20,Carlos Peucelle,Argentina,Uruguay,final,Final,true,false,false
1930,M-1930-18,37,0,37,Guillermo Stábile,Argentina,Uruguay,final,Final,true,false,false
1930,M-1930-18,57,0,57,Pedro Cea,Uruguay,Argentina,final,Final,true,false,false
1930,M-1930-18,68,0,68,Santos Iriarte,Uruguay,Argentina,final,Final,true,false,false
1930,M-1930-18,89,0,89,Héctor Castro,Uruguay,Argentina,final,Final,true,false,false
1934,M-1934-01,18,0,18,Jean Nicolas,France,Austria,round of 16,Round of 16,true,false,false
1934,M-1934-01,44,0,44,Matthias Sindelar,Austria,France,round of 16,Round of 16,true,false,false
1934,M-1934-01,93,0,93,Anton Schall,Austria,France,round of 16,Round of 16,true,false,false
1934,M-1934-01,109,0,109,Josef Bican,Austria,France,round of 16,Round of 16,true,false,false
1934,M-1934-01,116,0,116,Georges Verriest,France,Austria,round of 16,Round of 16,true,true,false
1934,M-1934-02,11,0,11,Ștefan Dobay,Romania,Czechoslovakia,round of 16,Round of 16,true,false,false
1934,M-1934-02,50,0,50,Antonín Puč,Czechoslovakia,Romania,round of 16,Round of 16,true,false,false
1934,M-1934-02,67,0,67,Oldřich Nejedlý,Czechoslovakia,Romania,round of 16,Round of 16,true,false,false
1934,M-1934-03,25,0,25,Stanislaus Kobierski,Germany,Belgium,round of 16,Round of 16,true,false,false
1934,M-1934-03,29,0,29,Bernard Voorhoof,Belgium,Germany,round of 16,Round of 16,true,false,false
1934,M-1934-03,43,0,43,Bernard Voorhoof,Belgium,Germany,round of 16,Round of 16,true,false,false
1934,M-1934-03,49,0,49,Otto Siffling,Germany,Belgium,round of 16,Round of 16,true,false,false
1934,M-1934-03,66,0,66,Edmund Conen,Germany,Belgium,round of 16,Round of 16,true,false,false
1934,M-1934-03,70,0,70,Edmund Conen,Germany,Belgium,round of 16,Round of 16,true,false,false
1934,M-1934-03,87,0,87,Edmund Conen,Germany,Belgium,round of 16,Round of 16,true,false,false
1934,M-1934-04,11,0,11,Pál Teleki,Hungary,Egypt,round of 16,Round of 16,true,false,false
1934,M-1934-04,31,0,31,Géza Toldi,Hungary,Egypt,round of 16,Round of 16,true,false,false
1934,M-1934-04,35,0,35,Abdulrahman Fawzi,Egypt,Hungary,round of 16,Round of 16,true,false,false
1934,M-1934-04,39,0,39,Abdulrahman Fawzi,Egypt,Hungary,round of 16,Round of 16,true,false,false
1934,M-1934-04,53,0,53,Jenő Vincze,Hungary,Egypt,round of 16,Round of 16,true,false,false
1934,M-1934-04,61,0,61,Géza Toldi,Hungary,Egypt,round of 16,Round of 16,true,false,false
1934,M-1934-05,18,0,18,Angelo Schiavio,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,20,0,20,Raimundo Orsi,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,29,0,29,Angelo Schiavio,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,57,0,57,Aldo Donelli,United States,Italy,round of 16,Round of 16,true,false,false
1934,M-1934-05,63,0,63,Giovanni Ferrari,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,64,0,64,Angelo Schiavio,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,69,0,69,Raimundo Orsi,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-05,90,0,90,Giuseppe Meazza,Italy,United States,round of 16,Round of 16,true,false,false
1934,M-1934-06,18,0,18,José Iraragorri,Spain,Brazil,round of 16,Round of 16,true,true,false
1934,M-1934-06,25,0,25,José Iraragorri,Spain,Brazil,round of 16,Round of 16,true,false,false
1934,M-1934-06,29,0,29,Isidro Lángara,Spain,Brazil,round of 16,Round of 16,true,false,false
1934,M-1934-06,55,0,55,not applicable Leônidas,Brazil,Spain,round of 16,Round of 16,true,false,false
1934,M-1934-07,4,0,4,Ernesto Belis,Argentina,Sweden,round of 16,Round of 16,true,false,false
1934,M-1934-07,9,0,9,Sven Jonasson,Sweden,Argentina,round of 16,Round of 16,true,false,false
1934,M-1934-07,48,0,48,Alberto Galateo,Argentina,Sweden,round of 16,Round of 16,true,false,false
1934,M-1934-07,67,0,67,Sven Jonasson,Sweden,Argentina,round of 16,Round of 16,true,false,false
1934,M-1934-07,79,0,79,Knut Kroon,Sweden,Argentina,round of 16,Round of 16,true,false,false
1934,M-1934-08,7,0,7,Leopold Kielholz,Switzerland,Netherlands,round of 16,Round of 16,true,false,false
1934,M-1934-08,29,0,29,Kick Smit,Netherlands,Switzerland,round of 16,Round of 16,true,false,false
1934,M-1934-08,43,0,43,Leopold Kielholz,Switzerland,Netherlands,round of 16,Round of 16,true,false,false
1934,M-1934-08,66,0,66,André Abegglen,Switzerland,Netherlands,round of 16,Round of 16,true,false,false
1934,M-1934-08,69,0,69,Leen Vente,Netherlands,Switzerland,round of 16,Round of 16,true,false,false
1934,M-1934-09,8,0,8,Johann Horvath,Austria,Hungary,quarter-finals,Quarter-final,true,false,false
1934,M-1934-09,51,0,51,Karl Zischek,Austria,Hungary,quarter-finals,Quarter-final,true,false,false
1934,M-1934-09,60,0,60,György Sárosi,Hungary,Austria,quarter-finals,Quarter-final,true,true,false
1934,M-1934-10,18,0,18,Leopold Kielholz,Switzerland,Czechoslovakia,quarter-finals,Quarter-final,true,false,false
1934,M-1934-10,24,0,24,František Svoboda,Czechoslovakia,Switzerland,quarter-finals,Quarter-final,true,false,false
1934,M-1934-10,49,0,49,Jiří Sobotka,Czechoslovakia,Switzerland,quarter-finals,Quarter-final,true,false,false
1934,M-1934-10,78,0,78,Willy Jäggi,Switzerland,Czechoslovakia,quarter-finals,Quarter-final,true,false,false
1934,M-1934-10,82,0,82,Oldřich Nejedlý,Czechoslovakia,Switzerland,quarter-finals,Quarter-final,true,false,false
1934,M-1934-11,60,0,60,Karl Hohmann,Germany,Sweden,quarter-finals,Quarter-final,true,false,false
1934,M-1934-11,63,0,63,Karl Hohmann,Germany,Sweden,quarter-finals,Quarter-final,true,false,false
1934,M-1934-11,82,0,82,Gösta Dunker,Sweden,Germany,quarter-finals,Quarter-final,true,false,false
1934,M-1934-12,30,0,30,Luis Regueiro,Spain,Italy,quarter-finals,Quarter-final,true,false,false
1934,M-1934-12,44,0,44,Giovanni Ferrari,Italy,Spain,quarter-finals,Quarter-final,true,false,false
1934,M-1934-13,11,0,11,Giuseppe Meazza,Italy,Spain,quarter-finals,Quarter-final,true,false,false
1934,M-1934-14,21,0,21,Oldřich Nejedlý,Czechoslovakia,Germany,semi-finals,Semi-final,true,false,false
1934,M-1934-14,62,0,62,Rudolf Noack,Germany,Czechoslovakia,semi-finals,Semi-final,true,false,false
1934,M-1934-14,69,0,69,Oldřich Nejedlý,Czechoslovakia,Germany,semi-finals,Semi-final,true,false,false
1934,M-1934-14,80,0,80,Oldřich Nejedlý,Czechoslovakia,Germany,semi-finals,Semi-final,true,false,false
1934,M-1934-15,19,0,19,Enrique Guaita,Italy,Austria,semi-finals,Semi-final,true,false,false
1934,M-1934-16,1,0,1,Ernst Lehner,Germany,Austria,third-place match,Third-place,true,false,false
1934,M-1934-16,27,0,27,Edmund Conen,Germany,Austria,third-place match,Third-place,true,false,false
1934,M-1934-16,28,0,28,Johann Horvath,Austria,Germany,third-place match,Third-place,true,false,false
1934,M-1934-16,42,0,42,Ernst Lehner,Germany,Austria,third-place match,Third-place,true,false,false
1934,M-1934-16,54,0,54,Karl Sesta,Austria,Germany,third-place match,Third-place,true,false,false
1934,M-1934-17,71,0,71,Antonín Puč,Czechoslovakia,Italy,final,Final,true,false,false
1934,M-1934-17,81,0,81,Raimundo Orsi,Italy,Czechoslovakia,final,Final,true,false,false
1934,M-1934-17,95,0,95,Angelo Schiavio,Italy,Czechoslovakia,final,Final,true,false,false
1938,M-1938-01,29,0,29,Josef Gauchel,Germany,Switzerland,round of 16,Round of 16,true,false,false
1938,M-1938-01,43,0,43,André Abegglen,Switzerland,Germany,round of 16,Round of 16,true,false,false
1938,M-1938-02,35,0,35,Silviu Bindea,Romania,Cuba,round of 16,Round of 16,true,false,false
1938,M-1938-02,44,0,44,Héctor Socorro,Cuba,Romania,round of 16,Round of 16,true,false,false
1938,M-1938-02,69,0,69,José Magriñá,Cuba,Romania,round of 16,Round of 16,true,false,false
1938,M-1938-02,88,0,88,Iuliu Baratky,Romania,Cuba,round of 16,Round of 16,true,false,false
1938,M-1938-02,103,0,103,Héctor Socorro,Cuba,Romania,round of 16,Round of 16,true,false,false
1938,M-1938-02,105,0,105,Ștefan Dobay,Romania,Cuba,round of 16,Round of 16,true,false,false
1938,M-1938-03,1,0,1,Émile Veinante,France,Belgium,round of 16,Round of 16,true,false,false
1938,M-1938-03,16,0,16,Jean Nicolas,France,Belgium,round of 16,Round of 16,true,false,false
